census region,air conditioning type,housing types,technology,final_energy,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,63,29,42,2.0,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688287457123,0.0687434365085,0.0686150429698,0.068459855074
66,63,29,42,2.0,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689044934568,0.0687818566739,0.0686550269678
66,63,29,42,2.0,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696574466139,0.0695351262765
66,63,29,42,2.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0698391241503
66,63,29,44,2.0,1999,0.931076895989,0.857959789042,0.785848088181,0.714816165441,0.645402108226,0.577008266971,0.509115240779,0.442003814787,0.376760662791,0.314009373998,0.255137556408,0.20117944013,0.152946134627,0.11133082589,0.0769642802984,0.0500405356789,0.0303034001221
66,63,29,44,2.0,2000,0.0689231040115,0.0685911405452,0.0682823036459,0.0679868848712,0.0677191687213,0.0673488652854,0.0666800542033,0.065534246537,0.0637954281006,0.061247408506,0.0578024267125,0.0533601730246,0.0478501616981,0.041375200354,0.0342064093005,0.0267693878915,0.0196364911587
66,63,29,44,2.0,2001,0.0,0.0734490704128,0.0731248003546,0.0728389174824,0.0726336567752,0.0724026330703,0.0719724157541,0.0711872154354,0.0699522273999,0.06804808106,0.0653695742461,0.0617594914145,0.0570393031416,0.0511676331232,0.0442506620313,0.0365638667568,0.0286149780313
66,63,29,44,2.0,2002,0.0,0.0,0.072744807819,0.07246679263,0.0722928386507,0.0721439106221,0.071880184939,0.0713824039301,0.0705918024079,0.069318140281,0.0674718859871,0.0648861974702,0.0613309541367,0.0566637297862,0.0508386511302,0.0439423653346,0.0363099893929
66,63,29,44,2.0,2003,0.0,0.0,0.0,0.0718912395752,0.0717249839548,0.0716071968468,0.0714256382337,0.0710941555095,0.0705899800983,0.0697588399964,0.0685414825918,0.0667881081641,0.0642581116212,0.060758954526,0.0561440158284,0.050345110873,0.0435168107493
66,63,29,44,2.0,2004,0.0,0.0,0.0,0.0,0.0702272436722,0.0701180914067,0.0699695940763,0.0697231621243,0.0693879443097,0.0688471981047,0.0680775743742,0.0669619385109,0.0652789271179,0.0628285101386,0.0594164690576,0.0548737938335,0.0492072576272
66,63,29,44,2.0,2005,0.0,0.0,0.0,0.0,0.0,0.069371035798,0.0692302176472,0.0690152760259,0.068760674166,0.0683817422283,0.0678897208351,0.0672034434039,0.066132480621,0.0644933208839,0.062082076952,0.0586788079654,0.0541938215614
66,63,29,44,2.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0697266543672,0.069516293687,0.0692888442989,0.0689844655288,0.0686456389121,0.0682254663979,0.0675668012911,0.0665137728516,0.0648752813164,0.0624159691921,0.0589958020879
66,63,29,44,2.0,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0705434319643,0.0703188148209,0.0700392263263,0.0697735690567,0.0695059985019,0.0691122753137,0.0684694711815,0.0674128893484,0.0657166746769,0.0632269730307
66,63,29,44,2.0,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0705536216064,0.0702792889601,0.0700420371448,0.0698518749373,0.0696159507213,0.0692463042296,0.0686129554068,0.0675176100875,0.0658203285358
66,63,29,44,2.0,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0710862350103,0.0708524989973,0.0706897235031,0.0705301690074,0.0703170353091,0.0699545773552,0.0692772485752,0.0681729225069
66,63,29,44,2.0,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703960347344,0.0702404939408,0.0701112984016,0.069978009999,0.0697774283821,0.069380194307,0.0687100638402
66,63,29,44,2.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0693476506013,0.0692261939945,0.0691235198239,0.0690028719964,0.0687678593512,0.0683780016161
66,63,29,44,2.0,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0690012383072,0.0689049661914,0.0688135016309,0.068656229219,0.0684240272709
66,63,29,44,2.0,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0688287457123,0.0687434365085,0.0686150429698,0.068459855074
66,63,29,44,2.0,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0689044934568,0.0687818566739,0.0686550269678
66,63,29,44,2.0,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0696574466139,0.0695351262765
