census region,vintage,technology,value
66,2008,31,640.0
66,2009,31,640.0
66,2010,31,640.0
66,2011,31,640.0
66,2012,31,640.0
66,2013,31,640.0
66,2014,31,640.0
66,2015,31,640.0
66,2016,31,640.0
67,2008,31,640.0
67,2009,31,640.0
67,2010,31,640.0
67,2011,31,640.0
67,2012,31,640.0
67,2013,31,640.0
67,2014,31,640.0
67,2015,31,640.0
67,2016,31,640.0
68,2008,31,640.0
68,2009,31,640.0
68,2010,31,640.0
68,2011,31,640.0
68,2012,31,640.0
68,2013,31,640.0
68,2014,31,640.0
68,2015,31,640.0
68,2016,31,640.0
69,2008,31,640.0
69,2009,31,640.0
69,2010,31,640.0
69,2011,31,640.0
69,2012,31,640.0
69,2013,31,640.0
69,2014,31,640.0
69,2015,31,640.0
69,2016,31,640.0
