census region,housing types,technology,vintage,value
66,28,4,2000,0.0
66,28,4,2001,0.0
66,28,4,2002,3047284.91901
66,28,4,2003,0.0
66,28,4,2004,20958367.7319
66,28,4,2005,0.0
66,28,4,2006,10227445.0486
66,28,4,2007,0.0
66,28,4,2008,0.0
66,28,4,2009,0.0
66,28,4,2010,0.0
66,28,4,2011,0.0
66,28,4,2012,513304.782507
66,28,4,2013,4292369.75328
66,28,4,2014,929031.99883
66,28,4,2015,29521710.6773
66,28,4,2016,249079.001917
66,28,5,2000,31720219.8075
66,28,5,2001,0.0
66,28,5,2002,0.0
66,28,5,2003,47254012.2186
66,28,5,2004,0.0
66,28,5,2005,0.0
66,28,5,2006,610801.804626
66,28,5,2007,5879620.72733
66,28,5,2008,1094257.50033
66,28,5,2009,40438375.9978
66,28,5,2010,300199.660685
66,28,5,2011,31811687.7711
66,28,5,2012,0.0
66,28,5,2013,0.0
66,28,5,2014,43504443.2845
66,28,5,2015,0.0
66,28,5,2016,0.0
66,28,6,2000,528308.472338
66,28,6,2001,6884508.07357
66,28,6,2002,946469.876098
66,28,6,2003,47349708.2464
66,28,6,2004,253754.20048
66,28,6,2005,34326062.4828
66,28,6,2006,0.0
66,28,6,2007,0.0
66,28,6,2008,34426389.4167
66,28,6,2009,0.0
66,28,6,2010,0.0
66,28,6,2011,0.0
66,28,6,2012,6295453.69192
66,28,6,2013,0.0
66,28,6,2014,43298358.0534
66,28,6,2015,0.0
66,28,6,2016,27972015.6075
66,28,7,2000,0.0
66,28,7,2001,0.0
66,28,7,2002,0.0
66,28,7,2003,0.0
66,28,7,2004,0.0
66,28,7,2005,0.0
66,28,7,2006,1499690.68702
66,28,7,2007,0.0
66,28,7,2008,10314450.3183
66,28,7,2009,0.0
66,28,7,2010,6188804.31593
66,28,7,2011,0.0
66,28,7,2012,0.0
66,28,7,2013,0.0
66,28,7,2014,0.0
66,28,7,2015,0.0
66,28,7,2016,0.0
66,28,8,2000,5354757.66989
66,28,8,2001,0.0
66,28,8,2002,36828515.6601
66,28,8,2003,0.0
66,28,8,2004,23147032.5089
66,28,8,2005,0.0
66,28,8,2006,0.0
66,28,8,2007,0.0
66,28,8,2008,0.0
66,28,8,2009,0.0
66,28,8,2010,218857.6341
66,28,8,2011,6011419.31857
66,28,8,2012,413279.443087
66,28,8,2013,43520894.3173
66,28,8,2014,113643.769856
66,28,8,2015,29715134.3652
66,28,8,2016,0.0
66,28,9,2000,0.0
66,28,9,2001,5704605.19401
66,28,9,2002,0.0
66,28,9,2003,0.0
66,28,9,2004,111273.69081
66,28,9,2005,2366721.3102
66,28,9,2006,199347.922413
66,28,9,2007,16277642.8383
66,28,9,2008,53446.3631087
66,28,9,2009,11220705.354
66,28,9,2010,0.0
66,28,9,2011,0.0
66,28,9,2012,7250974.78507
66,28,9,2013,0.0
66,28,9,2014,0.0
66,28,9,2015,8929154.26382
66,28,9,2016,9152377.74606
66,28,10,2000,980264.911111
66,28,10,2001,21605207.6562
66,28,10,2002,37555150.4779
66,28,10,2003,30011845.4508
66,28,10,2004,0.0
66,28,10,2005,0.0
66,28,10,2006,0.0
66,28,10,2007,0.0
66,28,10,2008,0.0
66,28,10,2009,31783394.7565
66,28,10,2010,33330608.802
66,28,10,2011,2290112.94647
66,28,10,2012,0.0
66,28,10,2013,82754956.2882
66,28,10,2014,212334.85849
66,28,10,2015,181900.007118
66,28,10,2016,181900.031253
66,28,11,2000,0.0
66,28,11,2001,300135.350824
66,28,11,2002,0.0
66,28,11,2003,37423458.6141
66,28,11,2004,46583627.253
66,28,11,2005,4464484.33873
66,28,11,2006,0.0
66,28,11,2007,227610410.338
66,28,11,2008,0.0
66,28,11,2009,624454.935401
66,28,11,2010,624454.978433
66,28,11,2011,0.0
66,28,11,2012,624455.301805
66,28,11,2013,0.0
66,28,11,2014,40512269.1035
66,28,11,2015,53721338.3797
66,28,11,2016,6418023.1242
66,28,12,2000,0.0
66,28,12,2001,207737514.047
66,28,12,2002,0.0
66,28,12,2003,616900.501879
66,28,12,2004,616899.475264
66,28,12,2005,0.0
66,28,12,2006,616894.364336
66,28,12,2007,0.0
66,28,12,2008,18603867.8856
66,28,12,2009,24273190.2985
66,28,12,2010,0.0
66,28,12,2011,0.0
66,28,12,2012,204377319.745
66,28,12,2013,0.0
66,28,12,2014,604115.596455
66,28,12,2015,604103.908697
66,28,12,2016,0.0
66,28,13,2000,237766.591287
66,28,13,2001,0.0
66,28,13,2002,7964544.56192
66,28,13,2003,10409272.8433
66,28,13,2004,0.0
66,28,13,2005,0.0
66,28,13,2006,82002306.3094
66,28,13,2007,0.0
66,28,13,2008,237292.188245
66,28,13,2009,237267.919498
66,28,13,2010,0.0
66,28,13,2011,237182.396818
66,28,13,2012,0.0
66,28,13,2013,8121831.79313
66,28,13,2014,10589047.7987
66,28,13,2015,0.0
66,28,13,2016,0.0
66,28,71,2000,493190908.548
66,28,71,2001,0.0
66,28,71,2002,1427109.57009
66,28,71,2003,1426577.82448
66,28,71,2004,0.0
66,28,71,2005,1424939.22173
66,28,71,2006,0.0
66,28,71,2007,48207959.0594
66,28,71,2008,63042603.0229
66,28,71,2009,0.0
66,28,71,2010,0.0
66,28,71,2011,493224712.231
66,28,71,2012,0.0
66,28,71,2013,1428603.68808
66,28,71,2014,1427056.7585
66,28,71,2015,0.0
66,28,71,2016,1422822.52044
66,29,4,2000,0.0
66,29,4,2001,228882.098356
66,29,4,2002,0.0
66,29,4,2003,0.0
66,29,4,2004,0.0
66,29,4,2005,0.0
66,29,4,2006,0.0
66,29,4,2007,0.0
66,29,4,2008,0.0
66,29,4,2009,10299694.426
66,29,4,2010,0.0
66,29,4,2011,0.0
66,29,4,2012,1310588.03762
66,29,4,2013,0.0
66,29,4,2014,0.0
66,29,4,2015,0.0
66,29,4,2016,0.0
66,29,5,2000,0.0
66,29,5,2001,0.0
66,29,5,2002,0.0
66,29,5,2003,83317876.0672
66,29,5,2004,0.0
66,29,5,2005,0.0
66,29,5,2006,1732116.34695
66,29,5,2007,0.0
66,29,5,2008,0.0
66,29,5,2009,0.0
66,29,5,2010,0.0
66,29,5,2011,0.0
66,29,5,2012,0.0
66,29,5,2013,0.0
66,29,5,2014,85195955.2046
66,29,5,2015,0.0
66,29,5,2016,0.0
66,29,6,2000,1874909.56706
66,29,6,2001,0.0
66,29,6,2002,0.0
66,29,6,2003,0.0
66,29,6,2004,0.0
66,29,6,2005,0.0
66,29,6,2006,0.0
66,29,6,2007,0.0
66,29,6,2008,84370930.5179
66,29,6,2009,0.0
66,29,6,2010,0.0
66,29,6,2011,1301384.66525
66,29,6,2012,0.0
66,29,6,2013,0.0
66,29,6,2014,0.0
66,29,6,2015,0.0
66,29,6,2016,0.0
66,29,7,2000,0.0
66,29,7,2001,0.0
66,29,7,2002,14640577.4841
66,29,7,2003,0.0
66,29,7,2004,0.0
66,29,7,2005,252856.413668
66,29,7,2006,0.0
66,29,7,2007,0.0
66,29,7,2008,0.0
66,29,7,2009,0.0
66,29,7,2010,0.0
66,29,7,2011,0.0
66,29,7,2012,0.0
66,29,7,2013,11378538.6151
66,29,7,2014,0.0
66,29,7,2015,0.0
66,29,7,2016,298097.601396
66,29,8,2000,0.0
66,29,8,2001,0.0
66,29,8,2002,0.0
66,29,8,2003,0.0
66,29,8,2004,0.0
66,29,8,2005,0.0
66,29,8,2006,0.0
66,29,8,2007,46434434.0637
66,29,8,2008,0.0
66,29,8,2009,0.0
66,29,8,2010,1396099.99028
66,29,8,2011,0.0
66,29,8,2012,0.0
66,29,8,2013,0.0
66,29,8,2014,0.0
66,29,8,2015,0.0
66,29,8,2016,0.0
66,29,9,2000,0.0
66,29,9,2001,25129799.825
66,29,9,2002,0.0
66,29,9,2003,0.0
66,29,9,2004,580092.876869
66,29,9,2005,0.0
66,29,9,2006,0.0
66,29,9,2007,0.0
66,29,9,2008,0.0
66,29,9,2009,0.0
66,29,9,2010,0.0
66,29,9,2011,0.0
66,29,9,2012,26104179.4591
66,29,9,2013,0.0
66,29,9,2014,0.0
66,29,9,2015,674844.199725
66,29,9,2016,0.0
66,29,10,2000,0.0
66,29,10,2001,0.0
66,29,10,2002,0.0
66,29,10,2003,0.0
66,29,10,2004,0.0
66,29,10,2005,0.0
66,29,10,2006,98490775.095
66,29,10,2007,0.0
66,29,10,2008,0.0
66,29,10,2009,1907143.41186
66,29,10,2010,0.0
66,29,10,2011,0.0
66,29,10,2012,0.0
66,29,10,2013,0.0
66,29,10,2014,0.0
66,29,10,2015,0.0
66,29,10,2016,0.0
66,29,11,2000,94403598.887
66,29,11,2001,0.0
66,29,11,2002,0.0
66,29,11,2003,1541442.6842
66,29,11,2004,0.0
66,29,11,2005,0.0
66,29,11,2006,0.0
66,29,11,2007,0.0
66,29,11,2008,0.0
66,29,11,2009,0.0
66,29,11,2010,0.0
66,29,11,2011,69364920.7888
66,29,11,2012,0.0
66,29,11,2013,0.0
66,29,11,2014,1281980.35279
66,29,11,2015,0.0
66,29,11,2016,0.0
66,29,12,2000,0.0
66,29,12,2001,0.0
66,29,12,2002,0.0
66,29,12,2003,0.0
66,29,12,2004,0.0
66,29,12,2005,37585333.0704
66,29,12,2006,0.0
66,29,12,2007,0.0
66,29,12,2008,693674.107918
66,29,12,2009,0.0
66,29,12,2010,0.0
66,29,12,2011,0.0
66,29,12,2012,0.0
66,29,12,2013,0.0
66,29,12,2014,0.0
66,29,12,2015,0.0
66,29,12,2016,34119086.936
66,29,13,2000,0.0
66,29,13,2001,0.0
66,29,13,2002,263545.275461
66,29,13,2003,0.0
66,29,13,2004,0.0
66,29,13,2005,0.0
66,29,13,2006,0.0
66,29,13,2007,0.0
66,29,13,2008,0.0
66,29,13,2009,0.0
66,29,13,2010,11859537.3957
66,29,13,2011,0.0
66,29,13,2012,0.0
66,29,13,2013,324575.869772
66,29,13,2014,0.0
66,29,13,2015,0.0
66,29,13,2016,0.0
66,29,71,2000,0.0
66,29,71,2001,0.0
66,29,71,2002,0.0
66,29,71,2003,0.0
66,29,71,2004,86845975.9659
66,29,71,2005,0.0
66,29,71,2006,0.0
66,29,71,2007,1824298.0801
66,29,71,2008,0.0
66,29,71,2009,0.0
66,29,71,2010,0.0
66,29,71,2011,0.0
66,29,71,2012,0.0
66,29,71,2013,0.0
66,29,71,2014,0.0
66,29,71,2015,82093413.6045
66,29,71,2016,0.0
66,30,4,2000,0.0
66,30,4,2001,0.768514160438
66,30,4,2002,0.0
66,30,4,2003,0.0
66,30,4,2004,0.0
